name,text
Leader of the OppositionMr ABBOTT,"Mr Speaker, on behalf of the coalition, I join with the Prime Minister in extending to you our congratulations and best wishes on your re-election to this high office. I have to say, Mr Speaker, that of all the members of this parliament you are obviously the best suited for the office which you now hold. Mr Speaker, I never wavered in my faith that you were the best person for the job that you hold. There were weeks when others doubted. There were weeks when you must have doubted yourself what was going to emerge from this parliament. But I was with you every step of the way. I was there, I was your true friend and I was the true friend of a genuinely independent speakership in this parliament. I was the true friend and, I would like to think, the author of the beginnings of a Westminster style speakership in this parliament.Mr Speaker, yes, this is a finely balanced parliament, but the fact that it is a finely balanced parliament does not excuse the government from its duty to keep its election commitments. It does not excuse the government from its duty to be an effective government. It can lower expectations all it likes here, but out there in the country the people of Australia expect a government that keeps its election commitments. It cannot walk away from its election commitments simply because of the closeness of the numbers in this parliament. So, Mr Speaker, this is an opposition which will hold this government to account. This is an opposition which will expect of this government that it honours its commitments. What that means is that this will be a parliament of robust debate. That is what the people expect. They do not expect a false consensus. They do not expect the pretence of agreement when there is none. They expect the values and the principles and the commitments that were brought to this parliament by different members to be vigorously expressed in this place. Mr Speaker, it is precisely because of the qualities that you have previously shown in the chair that you are the right man to hold this job at this time.It was obvious to all members on this side of the parliament that you were very unhappy with the way the parliament was conducted in the last term. Your impatience with longwinded ministerial answers was palpable. Your unhappiness with irrelevant answers was obvious to all. Well, Mr Speaker, you sought different standing orders; you will soon have different standing orders. Under the new standing orders you will have the opportunity to ensure not only that ministerial answers are brief but that they are directly relevant to the question—that answers are not the answers that ministers wish to give but that they are, at last, directly relevant to the question that has actually been asked.Mr Speaker, you are the custodian of the traditions of this parliament. You are the custodian of the rights of members. You are no longer a creature of party. You are no longer the creature of the executive. You are now free to be in this parliament everything that a Westminster style Speaker should be. This is your time, Mr Speaker, and I know you will use it in the best interests of this parliament and this nation.Honourable members—Hear, hear!"
Leader of the NationalsMr TRUSS,"Mr Speaker, may I join in congratulating you on your re-election to this high office. The fact that you were the unanimous choice of the parliament demonstrates the trust and the confidence that your fellow members have in your capacity to do this job. You had to wait rather a long time to get the nod from your own colleagues, and the unseemly searching around for somebody else to do this job is a reflection on the government, not on you. The reality is that you are the best person to fill this office. The parliament has made the right choice. You are capable and you are experienced. For a long time, you were Speaker in waiting. After three years in the job, you have a first-class understanding of the standing orders, you value the traditions of the parliament and you give to this House the dignity that it should have as the pinnacle of our constitutional democracy. Your good humour and able adjudication has also been appreciated by all members of the House.I know that many more on this side of the House have tasted the wrath of your discipline than on the other side, but I have to acknowledge that from time to time we may have aggrieved you and that your wrath was justified. What is going to be most important for the future, however, is that the determination and the patience that you have shown is able to transform the parliament into a debating chamber more in the style that you have desired to happen and have expressed a wish to happen in the past. You have often said that your capacity to do your job was limited by deficiencies in the standing orders. I understand we are to get changes to the standing orders, but those changes of themselves will not be enough to change the culture of the parliament. Some of those changes have already been made in the Senate and I am told that it has not made all that much difference. So your role will be critical not only in ushering in these new standing orders but in making sure that they do indeed deliver a change in the culture of the parliament—especially at question time, which is I guess the period of this parliament which is most in the public eye, because it is really the only period that receives any kind of mass television coverage. I think the public judges very much the performance of the parliament on the basis of what they see in question time. So your challenge now, under the standing orders that you asked for, is to make sure that they do deliver a better parliament.Your role is critical to the performance of the parliament. I am delighted that you have been chosen to be Speaker. I have no doubt that you will deliver to this office the same dignity and respect that you did in the last parliament and that, as a result, we can get about the business of building a better country with a parliament that works effectively and well. Congratulations, Harry Jenkins, on your election. I know that you will serve this office well."
Leader of the HouseMr ALBANESE,"Mr Speaker, I welcome your re-election as the Speaker of the House of Representatives. It is indeed a great honour for you to be reappointed unanimously to this role, as it is a great honour for each and every member to sit in this House of Representatives. I join with you in congratulating all those new members, wherever they sit in the chamber, who have been elected for the first time to this parliament. It is indeed an incredible honour and a privilege which brings with it great responsibility. I particularly want to single out the member for Hasluck as the first Indigenous member of the House of Representatives and also the member for Chifley as the first person of Islamic faith to be elected to this parliament. I thought it was particularly noteworthy when Michael Danby, the member for Melbourne Ports, and the member for Chifley had their swearing-in at the same time at this dispatch box. It is important that this parliament continue to reflect the Australian people in its composition. In doing so we have got a parliament that does reflect more so the Australian public.I welcome the fact that we do have a more difficult parliament that will make my job more difficult from time to time. It brings with it responsibilities for you, Mr Speaker, but also for each of the 150 members who have been elected to this House. You will preside over a new set of standing orders when they are adopted by the House tomorrow. That set of standing orders provides reforms which will allow for greater participation of all 150 members of this House. It will provide for greater accountability in question time of the executive. It will provide for greater opportunity for discussion of interest to individual members’ electorates. That was something that was embraced by us when we came to government in 2007 with the changes that we made. At that time it did not have support of the whole of the parliament. It is to be hoped that tomorrow the reforms that will be put through do have the support of the entire membership of the House of Representatives. The member for Lyne deserves special thanks from all members of this House in showing the leadership that he showed.Mr Speaker, the fact is that parliamentary reform was something that you advocated from the chair on many occasions in the last parliament. The fact is that majority governments, whether they be Labor or coalition, have been reluctant to support those reforms and therefore give away the advantage that governments have on the floor of this chamber. The new composition given to us by the Australian people on 21 August has ensured that those reforms will take place. But without goodwill, without cooperation and without the spirit as well as the letter of the reforms, it is just a bit of paper. I pledge to work with you, Mr Speaker, as the Leader of the House cooperatively with the Manager of Opposition Business and with crossbench members to ensure that the spirit of the reforms is implemented and that you are in a position to be able to drive those reforms in your high office to which you have been deservingly reappointed here today."
Manager of Opposition BusinessMr PYNE,"Mr Speaker, can I associate myself with the remarks of the Prime Minister, the Leader of the Opposition, the Leader of the House and the Leader of the National Party in congratulating you on your re-election as Speaker for the 43rd parliament. That might be a short term or a long term; let us hope it is a long term as the opposition believes you have done a great job in the last three years in the 42nd parliament in trying to be fair and reasonable in the difficult circumstances of having standing orders very much weighted on behalf of one side of the House. The standing orders that we will pass today or tomorrow in order to do this facilitate the election of the Deputy Speaker and the Second Deputy Speaker—that may be today or it may be tomorrow—will give you the opportunity to give full vent to your stated desire over the last three years that the parliament change the standing orders so that you could make question time more relevant, more appropriate and a better place for the parliament, which the opposition has very much wanted over those last three years.Mr Speaker, I think it is fair to say and honest to say that you and I have had something of a love-hate relationship over the last few years. As Manager of Opposition Business I need you to love me but I have not always felt that love. I am very much looking forward in the 43rd parliament to us being able to change that relationship so that there is a lot more love flowing between us as Speaker and Manager of Opposition Business and that you might leaven some of the exits of members of this House that occurred with a few more from the other side as the months and years progress. So congratulations to you and I look forward very much to being your Manager of Opposition Business."
Mr OAKESHOTT,"I assure you, Mr Speaker, and all members that I will be brief—An honourable member—Four minutes."
Mr OAKESHOTT,"Yes, four minutes. Despite the skulduggery you may have heard in dispatches over the last fortnight, I rise I think on behalf of all the crossbenchers to assure you that you will have the full support of the crossbenchers in your challenging role over the next three years, we hope. In particular I make note of the references to the implementing of the new reforms over the next 48 hours and the general agreement and spirit behind the Agreement for a Better Parliament. You have our full support. I hope the sunshine is coming in and I hope we all can make hay while the sun shines under your rule."
The SPEAKER,"Members, I thank you very sincerely for the honour that you have bestowed upon me. It is often said that some of the challenges that confront us should be looked at as opportunities and in fact I see the situation of this, the 43rd Parliament, in that light.I thank the Prime Minister, the Leader of the Opposition, the Leader of the Nationals, the Leader of the House, the Manager of Opposition Business and the member for Lyne for their kind words of congratulation. I thank the member for Hindmarsh and the member for Cunningham for their comments in nominating me for this high office. I repeat an often made comment that those that nominate and second me for positions that involve chair duty should not look upon that as getting a free run from the chair. I know that both the members were very cautious in their comments, so that is probably an added advantage to them.This is a challenging time for the parliament. The reform document that has been spoken about up until today was, I felt, in the ownership of a small number of people. It is now in the ownership of the whole House. The whole House—each of the 150 members—has an opportunity presented by a minority government in this 43rd Parliament of getting effective, positive changes to the way in which this place operates. But I would hope that we do that in a way that enables those changes to be sustainable—that those changes would continue under differing circumstances of numbers within the chamber. I feel that those from outside who look upon the work of the chamber demand that.I have said that I want the parliament to be a modern parliament. We have a lot of traditions on which our work is based and which are the rock for the way we go about our work. There has been mention made of the Westminster system. I have had reason to research even further the Westminster system, and I urge those that can find the time to do so to research it themselves, because much of what we talk about in Westminster is by convention. It is by agreement; it is by parties with differing views in policy having a common aim about the way the parliament operates. So as we work along in implementing a number of things for which I see continuing agreement in the parliamentary reform document, I would hope that we look to further opportunities that might arise about the way in which we relate to each other that can bring this lasting change that I am hopeful of.The Leader of the House made some comments about the membership of the class of 2010, and I believe that this is a wonderful occasion where, representing Hasluck, we have a proud Noongar, Yamatji and Wongi man, whilst, representing Chifley, we have the son of a Bosnian Muslim immigrant family. That does indicate that we are starting to have a more representative membership in this place. Let our work be more representative; let us be a chamber that, despite the continuing robust nature of our engagement, those who observe from outside can be proud of.In conclusion I just have two groups of people that I wish to thank. The people of Scullin have continued to support me but I, like all of us, have to acknowledge that when we come here representing a major party, despite thinking it is our greatness that gets us across the line, it is because of the support for the organisation and the political party that we are proud to go forward as candidates. I have, as is demanded by the parliamentary reform document, put myself in self-imposed exile from the federal parliamentary Labor Party. Much has been said about how a person who steps outside that system can continue to represent their electorate. It is very high in my thoughts as to the ways in which I can continue to carry out that important duty, because to do that makes my job in representing an electorate more difficult.In the 42nd Parliament I withdrew from the activities of the caucus when there was discussion of tactics. I think I was the first Speaker for a long time to have no idea of the list of questions from either side. I was happy with that, but the reason that I thought I should be involved in the discussion of policy was that I owed it to the people who placed me here as their representative. So the step that is made is a big step, but I say to the constituents of Scullin that I will use my best endeavours, like my 149 colleagues in this House, to make sure that their hopes and aspirations get some ventilation through the other aspects of parliamentary life that are available to me.Finally, I thank my family, who are represented in the gallery today—both my immediate family and my extended family. It is true to say that it has been an interesting period over the last few weeks, and you get to acknowledge those that are close to you, both family and friends. At some stage, perhaps, the true story of the last few weeks will be aired, but I am happy that I have had the support of family and true friends over the last few weeks. It has given me the strength and the desire to take this position. I say to the House that I will use my best endeavours to make sure that the House of Representatives, throughout the 43rd Parliament, is a workable house and that we do engage in a way which is in the best interests of Australia as a nation."
Prime MinisterMs GILLARD,"Mr Speaker, I suspect that what I have to say is not going to surprise you, but I have ascertained that it will be Her Excellency the Governor-General’s pleasure to receive the Speaker in the Members Hall immediately after the resumption of the sitting at 2.30 pm."
The SPEAKER,"Prior to my presentation to Her Excellency this afternoon, the bells will ring for five minutes so that honourable members may attend in the chamber and accompany me to the Members Hall, when they may, if they so wish, be introduced to Her Excellency.Sitting suspended from 12.01 pm to 2.30 pmThe Speaker and honourable members proceeded to the Members Hall and having returned—"
The SPEAKER,"I have to report that, accompanied by honourable members, I proceeded to the Members Hall and presented myself to Her Excellency the Governor-General as the choice of the House as its Speaker and that Her Excellency was kind enough to congratulate me."
The SPEAKER,"Her Excellency also presented to me an authority to administer to members the oath or affirmation of allegiance. I now lay the authority on the table.The Usher of the Black Rod, having been announced, was admitted and delivered a message that Her Excellency the Governor-General desired the attendance of honourable members in the Senate chamber forthwith.The Speaker and honourable members attended accordingly and having returned—"
